index,Location,Latitude,Longitude
2,"Fort Myer, Virginia",38.883541,-77.0810889
3,"Juvisy-sur-Orge, France",48.692871,2.3708618
4,"Atlantic City, New Jersey",39.3642834,-74.4229266
5,"Victoria, British Columbia, Canada",48.4284207,-123.3656444
6,Over the North Sea,56.511018,3.515625
7,"Near Johannisthal, Germany",52.4367582,13.5039931
8,"Tienen, Belgium",50.8096628,4.9371045
9,"Off Cuxhaven, Germany",53.859336,8.6879057
10,"Near Jambol, Bulgeria",42.4841999,26.5035023
11,"Billericay, England",51.627903,0.418397
12,"Potters Bar, England",51.696636,-0.175948
13,"Mainz, Germany",49.9928617,8.2472526
14,"Off West Hartlepool, England",54.691745,-1.212926
15,"Near Gent, Belgium",51.0500182,3.7303351
16,Off Northern Germany,51.165691,10.451526
17,"Near Texel Island, North Sea",56.511018,3.515625
18,"Off Vlieland Island, North Sea",53.295963,5.0683373
19,"Near Yarmouth, England",52.598233,1.728047
20,Off western Denmark,45.5699557,-92.5096456
21,"Near Luneville, France",48.592237,6.492339
22,Over the Mediterranean,,
23,"Off Helgoland Island, Germany",54.1833116,7.8827444
24,"Ameland Island, North Sea",53.4500611,5.7906079
25,"Elizabeth, New Jersey",40.6639916,-74.2107006
26,"Cleveland, Ohio",41.49932,-81.6943605
27,"Dix Run, Pennsylvania",40.9064,-77.9395179
28,"Chicago, Illinois",41.8781136,-87.6297982
29,"Verona, Italy",45.4383659,10.9917136
30,"Newcastle, England",54.978252,-1.61778
31,"Cantonsville, Maryland",39.2720509,-76.7319161
32,"English Channel off Forkstone, Kent",51.081397,1.169456
33,"Long Valley, New Jersey",40.7859331,-74.7801645
34,"Catherham, Surrey, UK",51.280296,-0.0816159
35,"New Paris, Indiana",41.5033572,-85.8307059
36,"Newark, New Jersey",40.735657,-74.1723667
37,"Newark, New Jersey",40.735657,-74.1723667
38,"Heller Field, New Jersey",40.9356001,-74.6611769
39,"Oskaloosa, Iowa",41.2916728,-92.6493595
40,"Cleveland, Ohio",41.49932,-81.6943605
41,"Cartagena, Columbia",10.3932277,-75.4832311
42,"Bedford, England",52.1386603,-0.4667687
43,"College Park, Maryland",38.9896967,-76.93776
44,"Morristown, New Jersey",40.7967667,-74.4815438
45,"Pemberville, Ohio",41.4108855,-83.46104
46,"Hillersburg, Pennsylvania",41.2033216,-77.1945247
47,"Off Port Vendres, France",42.518487,3.106592
48,"Valencia, Spain",39.4699075,-0.3762881
49,"Batavia, Illinois",41.8500284,-88.3125738
50,"Tie Siding, Wyoming",41.0802621,-105.5074905
51,"London, England",51.5072178,-0.1275862
52,"Barcelona, Spain",41.3873974,2.168568
53,"Mendotta, Minnisota",44.8871878,-93.1643869
54,"La Crosse, Wisconsin",43.8137751,-91.2519017
55,Off Gibraltar,36.140751,-5.353585
56,"Elko, Nevada",40.8324211,-115.7631232
57,"Point Cook, Australia",-37.9002643,144.7535495
58,"Mitchel Field, NY",40.7238895,-73.5984261
59,"Cleveland, Ohio",41.49932,-81.6943605
60,"Rock Springs, Wyoming",41.5874644,-109.2029043
61,"Toulouse, France",43.604652,1.444209
62,"River Humber, England",52.3555177,-1.1743197
63,"Paris, France",48.856614,2.3522219
64,"Near Murchinson River, Australia",-25.87480558,118.8421994
65,"Paris, France",48.856614,2.3522219
66,"Near Norfolk, Virginia",36.8507689,-76.2858726
67,North Atlantic Ocean,35.746512,-39.462891
68,"Grandvilliers, France",49.665342,1.939705
69,"Pao Ting Fou, China",38.8739599,115.46459
70,"Off Folkestone, Kent, England",51.081397,1.169456
71,"Fuhlsbuttel, Germany",53.6295551,9.9911535
72,"Near Saverne, Lorraine, France",48.741963,7.361647
73,"Cadix, Spain",36.5210142,-6.2804565
74,"Indianapolis, Indiana",39.76909,-86.158018
75,"Venice, Italy",45.440379,12.3159547
76,"Larache, Morocco",35.1744271,-6.1473964
77,"Fez, Morocco",34.0181246,-5.0078451
78,"Ajaccio, France",41.919229,8.738635
79,"Barcelona, Spain",41.3873974,2.168568
80,"Cheyenne, Wyoming",41.1399814,-104.8202462
81,"Meadville, Pennsylvania",41.6414438,-80.1514484
82,"Near Amiens, Picrdie, France",49.894067,2.295753
83,"East Mallling, United Kingdom",51.287435,0.440026
84,"Bucharest, Romania",44.4267674,26.1025384
85,"Colton, Ohio",41.4645824,-83.9521687
86,"Near Ivinghoe, Buckinghamshire, England",51.837421,-0.628359
87,Russia,61.52401,105.318756
88,"Castalia, Ohio",41.4000523,-82.8085204
89,Over the Mediterranean Sea,34.5531284,18.0480105
90,"Egbert, WY",41.1697041,-104.2568991
91,"Grampian, Pennsylvania",40.9658931,-78.6130821
92,Over the English Channel,50.134664,-0.357056
93,"Barranquilla, Colombia",11.0041072,-74.8069813
94,United States,37.09024,-95.712891
95,"Cabrerolles, France",43.545815,3.125343
96,"Goshen, Indiana",41.5891606,-85.8345639
97,"Purley, England",51.339228,-0.119711
98,"Near Tiflis, Georgia, USSR",41.6938026,44.8015168
99,"Alicante, Spain",38.3459963,-0.4906855
100,"Landrécies, France",50.125434,3.691623
101,"Alicante, Spain",38.3459963,-0.4906855
102,"Rosas, Spain",42.2639489,3.1795528
103,"Budapest, Hungary",47.497912,19.040235
104,"Caldwell, Ohio",39.7478508,-81.5165127
105,"Toul, France",48.678296,5.890159
106,"Mt. Nittany, Ohio",40.4172871,-82.907123
107,"Nouadhibou, Mauritania",20.9425179,-17.0362272
108,"Off Boulogne-sur-Mer, France",50.725231,1.613334
109,"Montpelier, Ohio",41.5844951,-84.6055076
110,"Staaken, Germany",52.5325033,13.1415974
111,English Channel,50.134664,-0.357056
112,"Rossaugpt, Czechoslovakia",,
113,"Wolvertem, Belgium",50.95088,4.30927
114,"Juist, Germany",53.681385,7.008163
115,"Hurst, Kent, England",51.2622996,0.3285834
116,"New York, New York",40.7127753,-74.0059728
117,"Leigh, Kent, Unied Kingdom",51.198733,0.218376
118,"Bueren, Germany",49.7262489,6.9156239
119,English Channel,50.134664,-0.357056
120,"Cape Bojador, Morocco",31.791702,-7.09262
121,"Medford, Oregon",42.3265152,-122.8755949
122,"Estaires, France",50.644248,2.721848
123,"Rabat, Morocco",34.0083637,-6.8538748
124,"Tambo, Qld, Australia",-24.8831342,146.2534942
125,"King Hill, Idaho",43.0040661,-115.2039579
126,"Floh, Germany",50.7562528,10.4819945
127,"Goshen, Indiana",41.5891606,-85.8345639
128,"Algiers, Algeria",36.753768,3.0587561
129,"Amoneburg, Germany",50.797725,8.9219942
130,"Sevenoaks, England",51.27241,0.190898
131,"Willington, Connecticut",41.8809434,-72.2600655
132,"Hadley, New Jersey",40.0583238,-74.4056612
133,Atlantic Ocean,-14.5994134,-28.6731465
134,"Schleiz, Germany",50.5772446,11.8074105
135,"Thies, Mauritania",21.00789,-10.940835
136,"New Brunswick, New Jersey",40.4862157,-74.4518188
137,"Strasburg, France",48.5734053,7.7521113
138,Over the Gulf of Finland,59.9124514,26.2623373
139,"Corunna, Indiana",41.4372721,-85.1471934
140,"Almeria, Spain",36.834047,-2.4637136
141,"Near Marseille,France",43.3025742,5.3690743
142,"Near Canajoharie, New York",42.9056288,-74.5718073
143,"Solis, Uruguay",-34.7918125,-55.3823985
144,"L'Hospitalet, AriÃ¨ge",,
145,"Tarragona, Spain",41.1188827,1.2444909
146,"Almeria, Spain",36.834047,-2.4637136
147,"Marquette, Nebraska",41.0069471,-98.009662
148,"Off Cape Griz Nez, France",50.8710257,1.5829231
149,"Federal, Wyoming",41.2721268,-105.1148266
150,"Minuesa, Spain",41.9461336,-2.7580701
151,"Florianopolis, Brazil Florianopolis, Brazil Florianopolis, Brazil",-27.5948076,-48.5569153
152,"Dearborn, Minnesota",46.729553,-94.6858998
153,"Radevormwald, Germany",51.2015995,7.3590901
154,"Frankfurt, Germany",50.1109221,8.6821267
155,"Lebo, Kansas",38.4166818,-95.8530441
156,Over the Gulf of Finland,59.9124514,26.2623373
157,"Purley, England",51.339228,-0.119711
158,"Waalhaven, Netherlands",51.8782381,4.4330984
159,"Near Port Townsend, BC, Canada",53.7266683,-127.6476206
160,"Toul, France",48.678296,5.890159
161,"Adelaide Hills, Australia",-34.9062557,138.8397403
162,"Pocatello, Idaho",42.8621042,-112.4506191
163,"Heroldbach, Germany",49.6908242,11.0048276
164,"Gerona, Spain",41.9794005,2.8214264
165,"Polk, Pennsylvania",41.3670014,-79.9292233
166,"Valence, France",44.9324553,4.8956587
167,Off Gibraltar,36.140751,-5.353585
168,"Edgerton, Ohio",41.4486619,-84.7480123
169,"Edgerton, Ohio",41.4486619,-84.7480123
170,"Bristolville, Ohio",41.3873741,-80.8691273
171,"Spur, Texas",33.4764767,-100.8556857
172,"Near Rio de Janeiro,Brazil",-22.9068467,-43.1728965
173,"Spokan, Washington",47.6579711,-117.4235319
174,"Letzlingen, Germany",52.4465493,11.4862361
175,"Huron, Ohio",41.3950489,-82.5551733
176,"Chattanooga, Tennessee",35.0457984,-85.3093995
177,"Reims, France",49.258329,4.031696
178,"Stafford Springs, Connecticut",41.984407,-72.3162523
179,"Cove, Oregon",45.2965256,-117.8079872
180,"Near Corfu, Greece",39.6242621,19.9216777
181,Off Morocco,31.791702,-7.09262
182,"Morgantown, West Virginia",39.629526,-79.9558968
183,"Newark, New Jersey",40.735657,-74.1723667
184,"Near Beaumont, California",33.9294606,-116.977248
185,"San Diego, California",32.715738,-117.1610838
186,"Tampico, Mexico",22.2331041,-97.861099
187,"Tököl, Pest Hungary",47.3187057,18.9675223
188,Algiers,36.753768,3.0587561
189,"Santiago de Cuba, Cuba",20.01693,-75.8301537
190,"Barcelona, Spain",41.3873974,2.168568
191,"Off Dungeness, England",50.919325,0.96528
192,"St. Paul, Minnesota",44.9537029,-93.0899578
193,"Near Lindau, Bavaria, Germany",47.5534983,9.6928605
194,"Columbus, Ohio",39.9611755,-82.9987942
195,"Clovis, New Mexico",34.4047987,-103.2052272
196,"Sochi, Russia",43.6028079,39.7341543
197,"Elm, Germany",48.4010822,9.9876076
198,"Needles, California",34.8480597,-114.6141315
199,"Mt. Taylor, near Grants, New Mexico",35.1537803,-107.8216198
200,"Jask, Iran",25.6577006,57.7856677
201,North Atlantic Ocean,35.746512,-39.462891
202,"Saint Catharines, Ontario",43.1621196,-79.2505817
203,"Mt Lamentation, Connecticut",41.6032207,-73.087749
204,"Off Larache, Morocco",35.1744271,-6.1473964
205,"Jacumba, California",32.61768,-116.1874241
206,"Off Spezia, Italy",44.1024504,9.8240826
207,"Mount Vernon, Ohio",40.3932283,-82.485436
208,"Off Bremerton, Washington",47.5650067,-122.6269768
209,"Cerro del Carbon, Mexico",20.403852,-97.2878798
210,"Near Godstone, Surrey, England",51.247571,-0.067578
211,"Off Corsica, France",42.0396042,9.0128926
212,"Terranova Pausania, East Sardinia",40.9236401,9.4964224
213,"Vancouver, Washington",45.6280277,-122.673865
214,"Chagrin Falls, Ohio",41.4298516,-81.3910999
215,"Near Berlin, Germany",52.5200066,13.404954
216,"Amarillo, Texas",35.2219971,-101.8312969
217,"Brawnson, Nebraska",41.1874828,-103.1129824
218,"Antananarivo, Madagascar",-18.9184607,47.5211293
219,"Oceanside, California",33.1958696,-117.3794834
220,"Off Ceuta, Spain",35.8893874,-5.3213455
221,"Kansas City, Missouri",39.0997265,-94.5785667
222,"Hartford, Connecticut",41.7658043,-72.6733723
223,"Marden, England",51.173613,0.490709
224,"Jersey City, New Jersey",40.7177545,-74.0431435
225,"Buenos Aires, Argentina",-34.6036844,-58.3815591
226,"Boston, Massachusetts",42.3600825,-71.0588801
227,"Bornholm, Denmark",55.160428,14.8668836
228,"Arkansas Pass, Texas",27.909532,-97.1505561
229,"Near Meopham, Kent, England",51.370723,0.3604859
230,"Iglau, Czechoslovakia",49.3983782,15.5870415
231,"Croydon, England",51.3769529,-0.0956895
232,"Edmonton, Alberta, Canada",53.5460983,-113.4937266
233,"Near Beauvais, France",49.4295387,2.0807123
234,"Dresden, Germany",51.0504088,13.7372621
235,"La Rache, Morocco",35.163467,-5.8142885
236,"Perth, Australia",-31.9513993,115.8616783
237,"Prince Rupert, BC, Canada",54.3150367,-130.3208187
238,"Near Neufchatel, France",49.732771,1.441891
239,"Brookston, Indiana",40.6028144,-86.8672339
240,"Off of Santos, Brazil",-23.9592201,-46.3317787
241,"Techachapi Mountains, California",34.95,-118.58
242,"Shanghai, China",31.230416,121.473701
243,"Melle, Belgium",51.0036374,3.8005343
244,"Bluff Mountain, Washington",45.7423372,-122.1900892
245,"Wairoa, New Zealand",-39.0351747,177.4181452
246,"Bagot, Manitoba, Canada",49.968341,-98.628957
247,Off Spain,40.463667,-3.74922
248,"New South Wales, Australia",-31.2532183,146.921099
249,"Bazaar, Kansas",38.2719604,-96.5352854
250,"Near Letschen, Germany",51.165691,10.451526
251,"Burbank, California",34.1808392,-118.3089661
252,"Wampit, Australia",-6.7422822,146.6724298
253,"Bellefonte, Pennsylvania",40.9133943,-77.7783348
254,"Near Sandoway, Burma",18.4671203,94.3411001
255,"Walbridge, Ohio",41.5878281,-83.4932651
256,"Saarbrucken, Germany",49.2381697,6.997547
257,"Chicago, Illinois",41.8781136,-87.6297982
